model1_name,model2_name,condition,answer_condition,average_score,std_score,num_tasks,tasks
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,default,full_text,0.5912229608921777,0.14049283159976814,21,"['cause_and_effect', 'larger_animal', 'num_to_verbal', 'orthography_starts_with', 'rhymes', 'synonyms', 'taxonomy_animal', 'translation_en-fr', 'reverse_from_middle', 'smallest_item_length', 'smallest_even_no_sqrt', 'most_vowel_return_consonant', 'detect_rhyme_and_rewrite', 'rank_by_protein', 'multi_lang_to_english', 'square_of_zodiac_animal', 'alternate_synonym_antonym', 'most_consonant_return_vowel', 'least_unique_word_count', 'first_word_alphabetically_return_reverse', 'summary']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,default,without_answer,0.581534245752153,0.1410172922213477,21,"['cause_and_effect', 'larger_animal', 'num_to_verbal', 'orthography_starts_with', 'rhymes', 'synonyms', 'taxonomy_animal', 'translation_en-fr', 'reverse_from_middle', 'smallest_item_length', 'smallest_even_no_sqrt', 'most_vowel_return_consonant', 'detect_rhyme_and_rewrite', 'rank_by_protein', 'multi_lang_to_english', 'square_of_zodiac_animal', 'alternate_synonym_antonym', 'most_consonant_return_vowel', 'least_unique_word_count', 'first_word_alphabetically_return_reverse', 'summary']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,empty,full_text,0.5848739964621408,0.137061815229432,21,"['alternate_synonym_antonym', 'cause_and_effect', 'detect_rhyme_and_rewrite', 'first_word_alphabetically_return_reverse', 'larger_animal', 'least_unique_word_count', 'most_consonant_return_vowel', 'most_vowel_return_consonant', 'multi_lang_to_english', 'num_to_verbal', 'orthography_starts_with', 'rank_by_protein', 'reverse_from_middle', 'rhymes', 'smallest_even_no_sqrt', 'smallest_item_length', 'square_of_zodiac_animal', 'summary', 'synonyms', 'taxonomy_animal', 'translation_en-fr']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,ensemble_gen_qwq_dapo_eval_oss,full_text,0.6402990392276219,0.15382904752262294,21,"['alternate_synonym_antonym', 'cause_and_effect', 'detect_rhyme_and_rewrite', 'first_word_alphabetically_return_reverse', 'larger_animal', 'least_unique_word_count', 'most_consonant_return_vowel', 'most_vowel_return_consonant', 'multi_lang_to_english', 'num_to_verbal', 'orthography_starts_with', 'rank_by_protein', 'reverse_from_middle', 'rhymes', 'smallest_even_no_sqrt', 'smallest_item_length', 'square_of_zodiac_animal', 'summary', 'synonyms', 'taxonomy_animal', 'translation_en-fr']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,ensemble_gen_qwq_dapo_eval_oss,without_answer,0.6250788007463728,0.1550289263581972,21,"['alternate_synonym_antonym', 'cause_and_effect', 'detect_rhyme_and_rewrite', 'first_word_alphabetically_return_reverse', 'larger_animal', 'least_unique_word_count', 'most_consonant_return_vowel', 'most_vowel_return_consonant', 'multi_lang_to_english', 'num_to_verbal', 'orthography_starts_with', 'rank_by_protein', 'reverse_from_middle', 'rhymes', 'smallest_even_no_sqrt', 'smallest_item_length', 'square_of_zodiac_animal', 'summary', 'synonyms', 'taxonomy_animal', 'translation_en-fr']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,ensemble_gen_qwq_opent_eval_oss,full_text,0.6195831676324209,0.1465468750534242,21,"['alternate_synonym_antonym', 'cause_and_effect', 'detect_rhyme_and_rewrite', 'first_word_alphabetically_return_reverse', 'larger_animal', 'least_unique_word_count', 'most_consonant_return_vowel', 'most_vowel_return_consonant', 'multi_lang_to_english', 'num_to_verbal', 'orthography_starts_with', 'rank_by_protein', 'reverse_from_middle', 'rhymes', 'smallest_even_no_sqrt', 'smallest_item_length', 'square_of_zodiac_animal', 'summary', 'synonyms', 'taxonomy_animal', 'translation_en-fr']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,ensemble_gen_qwq_opent_eval_oss,without_answer,0.621637050026939,0.1523976990232594,21,"['alternate_synonym_antonym', 'cause_and_effect', 'detect_rhyme_and_rewrite', 'first_word_alphabetically_return_reverse', 'larger_animal', 'least_unique_word_count', 'most_consonant_return_vowel', 'most_vowel_return_consonant', 'multi_lang_to_english', 'num_to_verbal', 'orthography_starts_with', 'rank_by_protein', 'reverse_from_middle', 'rhymes', 'smallest_even_no_sqrt', 'smallest_item_length', 'square_of_zodiac_animal', 'summary', 'synonyms', 'taxonomy_animal', 'translation_en-fr']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,ensemble_gen_qwq_oss_eval_dapo,full_text,0.6374406141894204,0.16059648224720166,21,"['alternate_synonym_antonym', 'cause_and_effect', 'detect_rhyme_and_rewrite', 'first_word_alphabetically_return_reverse', 'larger_animal', 'least_unique_word_count', 'most_consonant_return_vowel', 'most_vowel_return_consonant', 'multi_lang_to_english', 'num_to_verbal', 'orthography_starts_with', 'rank_by_protein', 'reverse_from_middle', 'rhymes', 'smallest_even_no_sqrt', 'smallest_item_length', 'square_of_zodiac_animal', 'summary', 'synonyms', 'taxonomy_animal', 'translation_en-fr']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,ensemble_gen_qwq_oss_eval_dapo,without_answer,0.6366260991210029,0.15291015950493117,21,"['alternate_synonym_antonym', 'cause_and_effect', 'detect_rhyme_and_rewrite', 'first_word_alphabetically_return_reverse', 'larger_animal', 'least_unique_word_count', 'most_consonant_return_vowel', 'most_vowel_return_consonant', 'multi_lang_to_english', 'num_to_verbal', 'orthography_starts_with', 'rank_by_protein', 'reverse_from_middle', 'rhymes', 'smallest_even_no_sqrt', 'smallest_item_length', 'square_of_zodiac_animal', 'summary', 'synonyms', 'taxonomy_animal', 'translation_en-fr']"
BytedTsinghua-SIA_DAPO-Qwen-32B,Qwen_QwQ-32B,sampling,full_text,0.5342251902534848,0.13598705414519394,21,"['alternate_synonym_antonym', 'cause_and_effect', 'detect_rhyme_and_rewrite', 'first_word_alphabetically_return_reverse', 'larger_animal', 'least_unique_word_count', 'most_consonant_return_vowel', 'most_vowel_return_consonant', 'multi_lang_to_english', 'num_to_verbal', 'orthography_starts_with', 'rank_by_protein', 'reverse_from_middle', 'rhymes', 'smallest_even_no_sqrt', 'smallest_item_length', 'square_of_zodiac_animal', 'summary', 'synonyms', 'taxonomy_animal', 'translation_en-fr']"
